,,Star_name,Distance,Mass,Radius,Proper name
WISE 1622-0959,Scorpius,16h22m9.95s,−9° 55′ 34.78″,16.44,52.2,T6
WISE 1627+3255,Hercules,16h27m25.65s,32° 55′ 24.5″,16.61,50.2,T6
WISE 1639-6847,Triangulum Australe,16h39m40.83s,−68° 47′ 38.6″,,16.3,Y0
WISE 1647+5632,Draco,16h47m15.59s,56° 32′ 8.44″,16.59,28,T6
WISE 1653+4444,Hercules,16h53m11.03s,44° 44′ 22.71″,17.59,39.5,T8
WISE 1711+3500,Hercules,17h11m4.59s,35° 0′ 36.73″,17.89,60.3,T8
WISE 1717+6129,Draco,17h17m17.13s,61° 28′ 58.82″,18.49,72.7,T8
WISE 1721+1117,Ophiuchus,17h21m34.46s,11° 17′ 39.4″,,62.3,T6
WISE 1728+5716,Draco,17h28m44.97s,57° 16′ 42.9″,17.68,97.8,T6
WISE 1738+2732,Hercules,17h38m35.54s,27° 32′ 58.78″,19.47,20,Y0
WISE 1741+2553,Hercules,17h41m24.22s,25° 53′ 18.96″,16.53,18.9,T9
WISE 1746-0338,Ophiuchus,17h46m40.78s,−3° 38′ 18″,17.45,83.8,T6
WISE 1800+0134,Ophiuchus,18h0m26.60s,1° 34′ 53.1″,14.3,28.7,T7.5
WISE 1804+3117,Hercules,18h4m35.39s,31° 17′ 5.98″,18.7,30,T9.5:
WISE 1809+3838,Hercules,18h9m1.07s,38° 38′ 5.4″,,74.4,T8
WISE 1812+2721,Hercules,18h12m10.83s,27° 21′ 44.26″,18.19,47,T8.5:
WISE 1828+2650,Lyra,18h28m31.10s,26° 50′ 37.79″,23.57,36,Y2
WISE 1830+4542,Lyra,18h30m58.57s,45° 42′ 57.55″,,107,L9
WISE 1841+7000,Draco,18h41m24.75s,70° 0′ 38.54″,17.24,131.1,T5
WISE 1852+3537,Lyra,18h52m15.83s,35° 37′ 16.06″,16.5,55.4,T7
WISE 1906+4508,Lyra,19h6m24.73s,45° 8′ 6.88″,16.36,51.5,T6
WISE 1928+2356,Vulpecula,19h28m41.35s,23° 56′ 4.9″,,22.8,T6
WISE 1952+7240,Draco,19h52m46.61s,72° 40′ 0.61″,15.09,44.4,T4
WISE 1959-3338,Sagittarius,19h59m5.65s,33° 38′ 34.03″,16.87,37.2,T8
WISE 2030+0749,Delphinus,20h30m42.90s,7° 49′ 34.4″,14.23,34.2,T1.5
WISE 2014+0424,Aquila,20h14m4.13s,4° 24′ 8.5″,,96.2,T7 p
WISE 2015+6646,Draco,20h15m46.27s,66° 46′ 45.1″,,50.6,T8
WISE 2018-7423,Pavo,20h18m25s,−74° 23′ 27.99″,17.11,47.9,T7
WISE 2019-1148,Capricornus,20h19m20.76s,−11° 48′ 7.6″,,42.4,T8.5:
WISE 2056+1459,Delphinus,20h56m28.88s,14° 59′ 53.68″,19.21,24.5,Y0
WISE 2134-7137,Indus,21h34m56.81s,−71° 37′ 44.56″,19.8,42.7,T9 pec
WISE 2157+2659,Pegasus,21h57m51.34s,26° 59′ 31.25″,17.31,61.6,T7
WISE 2209-2734,Piscis Austrinus,22h9m22.05s,−27° 34′ 39.94″,16.81,46,T7
WISE 2213+0911,Pegasus,22h13m54.71s,9° 11′ 39.47″,16.98,58.7,T7
WISE 2220-3628,Grus,22h20m55.31s,−36° 28′ 17.4″,20.38,26.4,Y0
WISE 2226+0440,Pegasus,22h26m23.06s,4° 40′ 3.06″,16.9,45,T8
WISE 2237-0614,Aquarius,22h37m29.48s,−6° 14′ 34.36″,17.4,53.5,T5
WISE 2237+7228,Cepheus,22h37m20.39s,72° 28′ 33.8″,,46,T6
WISE 2239+1617,Pegasus,22h39m37.57s,16° 17′ 16″,16.18,59.7,T3
WISE 2255-3118,Piscis Austrinus,22h55m40.74s,−31° 18′ 42.11″,17.29,44.7,T8
WISE 2301+0216,Pisces,23h1m33.32s,2° 16′ 35.1″,,60.7,T6.5
WISE 2313-8037,Octans,23h13m36.45s,−80° 37′ 0.7″,16.97,35.9,T8
WISE 2319-1844,Aquarius,23h19m39.13s,−18° 44′ 4.15″,17.43,52.2,T7.5
WISE 2325-4105,Grus,23h25m19.54s,−41° 5′ 34.92″,19.75,37.5,T9 pec
WISE 2327-2730,Sculptor,23h27m28.74s,−27° 30′ 56.66″,16.68,70.8,L9
WISE 2335+4222,Andromeda,22h35m43.79s,42° 22′ 55.2″,,90.3,T7
WISE 2340-0745,Aquarius,23h40m26.6s,−7° 45′ 8.46″,16.15,37.8,T7
WISE 2342+0856,Pegasus,23h42m28.98s,8° 56′ 20.2″,,51.2,T6.5
WISE 2343-7418,Octans,23h43m51.3s,−74° 18′ 46.86″,16.13,48.6,T6
WISE 2344+1034,Pegasus,23h44m46.23s,10° 34′ 16.1″,18.8,46,T9
WISE 2348-1028,Aquarius,23h48m41.13s,−10° 28′ 44.11″,16.91,54.1,T7
WISE 2357+1227,Pegasus,23h57m16.49s,12° 27′ 41.8″,,54.8,T6
WISE 2359-7335,Tucana,23h59m41.08s,−73° 35′ 5.09″,16.16,42.7,T5.5
WISEA 1101+5400,Ursa Major,11h01m25.95s,+54° 00′ 52.8″,,111,T5.5
2M1510,Libra,15h10m47.47s,−28° 18′ 18.3″,,120,M9γ+M9γ
0.000−26.74,Sun,,0.000015813,G2,1,1
0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71
0.003−0.74,Canopus,α Car,0310,A9,15,71
0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2
0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26
0.03,Vega,α Lyr,0025,A0,2.2,2.7
0.08,Capella,α Aur,0043,G8,2.6,12
0.13,Rigel,β Ori,0860,B8,23,78.9
0.34,Procyon,α CMi,0011.4,F5,1.5,1.9
0.45,Betelgeuse,α Ori,0640[1],M2,20,950
0.46,Achernar,α Eri,0144,B3,6.7,9.3
0.61,Hadar,β Cen,0390,B1,10.5,8.6
0.76,Altair,α Aql,0017,A7,1.8,1.8
0.76,Acrux,α Cru,0320,B0.5,18,8.9
0.86,Aldebaran,α Tau,0065,K5,1.5,44
0.96,Antares,α Sco,0600,M1.5,12,680
0.97,Spica,α Vir,0260,B1,11.43,7.47
1.14,Pollux,β Gem,0034,K0,1.9,8.8
1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8
1.25,Deneb,α Cyg,"2,600",A2,19,203
1.25,Mimosa,β Crucis,0350,B0.5,16,8.4
1.39,Regulus,α Leo,0077,B7,3.8,3.1
1.50,Adhara,ε CMa,0430,B2,12.5,14
1.62,Shaula,λ Sco,0700,B2,14.5,8.8
1.62,Castor,α Gem,0052,A1,2.8,2.4
1.64,Gacrux,γ Cru,0088,M3.5,1.5,84
1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8
1.65,Elnath,β Tau,0130,B7,5.0,4.2
1.69,Miaplacidus,β Car,0110,A1,3.5,6.8
1.69,Alnilam,ε Ori,"2,000",B0,32,42
1.72,Gamma Velorum,"γ1,2Vel","01,100",WC8,9.0,6
1.74,Alnair,α Gru,0101,B7,4.0,3.4
1.77,Alioth,ε UMa,0081,A1,2.9,4.2
1.77,Alnitak,ζ Ori,01050,O9.7,33,20
1.79,Dubhe,α UMa,0120,G9,4.25,30
1.80,Mirfak,α Per,0590,F5,8.5,68
1.82,Wezen,δ CMa,"1,600",F8,17,200
1.84,Sargas,θ Sco,0270,F0,5.7,26
1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8
1.86,Avior,ε Car,0630,K3,9.0,130
1.86,Alkaid,η UMa,0104,B3,6.1,3.4
1.90,Menkalinan,β Aur,081,A1,2.39,2.77
1.91,Atria,α TrA,0390,K2,7,92
1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3
1.94,Peacock,α Pav,0180,B3,5.9,4.8
1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9
1.98,Mirzam,β CMa,0500,B1,13.5,10
1.98,Polaris,α UMi,0430,F8,5.4,39
2.00,Alphard,α Hya,0180,K3,3.0,50
2.23,Mintaka,δ Ori,01200,O9.5,24,16.5
2.42,Scheat,β Peg,0196,M2.5,2.1,95
2.98,Almaaz,ε Aur,0653,F0,15,140
3.35,Rasalgethi,α Her,0360,M5,2.8,280
3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893
3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22
3.74,Ran,ε Eri,010.48,K2,0.82,0.74
3.83,V382 Carinae,Car,"08,900",G2,20,485
4,Eta Carinae,η Car,"07,500",O,100,60 - 881
4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5
4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972
4.09,Titawin,υ And,044.25,F8,1.27,1.48
4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981
4.82,P Cygni,P Cyg,"05,545",B1,30,76
4.86,La Superba,CVn,"01,000",C5,,129 - 342
4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050"
5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665
5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298
5.47,Polaris Australis,Oct,0281,F0,1.59,3.74
5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85
5.88,54 Piscium,Psc,036.1,K0,0.76,0.94
6.57,Mira,ο Ceti,0300,M7,1.2,370
6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158"
6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51
6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750
7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04
7.4,II Pegasi,Peg,0130,K2,0.8,3.4
8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420"
8.3,Pistol Star,Sgr,"025,000",B3,100,320
8.6,S Doradus,Dor,"0169,000",B8,24,380
8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755
9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20
11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27
11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15
11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58
12.23,R136a1,Dor,"0163,000",WN5,290,32
12.78,Melnick 42,Dor,"0163,000",O2,189,21.1
14.10,WR 102,Sag,"018,134",WO2,19,0.39
14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47
14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99
14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21
16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?
16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770"
17.30,VB 10,Aql,018.72,M8,0.075,0.10
18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730"
18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12
21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086
25,WISE 0855−0714,Hya,07.27,Y2,0.003,?
28.4,Icarus,Leo,"014,400,000,000",B?,33,?
